Rank,English_Meaning,Word,Languages_Found,Count
142,oh,oh,"ca,en,gl",3
142,oh,Oh,"es,fr,it,pt,ro",5
144,ask,preguntar,"ca,es,gl",3
145,when,quando,"it,pt",2
146,as,como,"es,gl",2
147,school,escola,"ca,gl,pt",3
156,help,ajuda,"ca,pt",2
157,big,grande,"es,gl,it,pt",4
159,same,mesmo,"gl,pt",2
161,own,propio,"es,gl",2
162,while,mentre,"ca,it",2
163,start,start,"en,ro",2
164,three,tres,"ca,gl",2
165,high,alto,"es,gl,it",3
166,every,cada,"ca,es,gl",3
167,another,outro,"gl,pt",2
170,between,entre,"ca,gl,pt",3
172,family,familia,"es,gl",2
172,family,família,"ca,pt",2
174,president,president,"ca,en",2
174,president,presidente,"es,gl",2
174,president,Presidente,"it,pt",2
176,yes,sí,"ca,es",2
177,house,casa,"ca,es,gl,ro",4
178,show,show,"en,es",2
180,student,student,"en,ro",2
182,seem,parecer,"es,gl,pt",3
184,part,part,"ca,en",2
184,part,parte,"es,gl,it,ro",4
187,place,lugar,"es,gl",2
188,problem,problema,"ca,es,gl,it,pt",5
191,country,país,"ca,es,gl,pt",4
192,always,sempre,"ca,gl,it,pt",4
193,week,semana,"es,gl,pt",3
194,point,point,"en,fr",2
194,point,punto,"es,gl,it",3
195,hand,mano,"es,it",2
196,off,apagado,"es,gl",2
200,group,grupo,"es,gl,pt",3
200,group,grup,"ca,ro",2
201,such,tal,"ca,gl,pt",3
202,against,contra,"es,gl,pt",3
203,run,correr,"ca,es,gl",3
206,case,caso,"es,gl,pt",3
207,question,question,"en,fr",2
207,question,pregunta,"ca,es,gl",3
209,night,noite,"gl,pt",2
211,game,joc,"ca,ro",2
212,number,número,"es,gl,pt",3
213,write,escribir,"es,gl",2
214,bring,traer,"es,gl",2
217,lot,lot,"ca,en,ro",3
217,lot,lote,"es,gl",2
219,book,libro,"es,gl,it",3
220,system,sistema,"ca,es,gl,it,pt",5
221,government,governo,"it,pt",2
223,city,cidade,"gl,pt",2
224,company,empresa,"ca,es,gl",3
225,story,historia,"es,gl",2
230,bad,malo,"es,gl",2
231,friend,amigo,"es,gl,pt",3
232,during,durante,"es,gl",2
234,love,amor,"ca,es,gl",3
235,each,cada,"es,pt",2
236,hold,aguantar,"ca,gl",2
237,different,diferente,"es,gl,pt",3
238,american,american,"en,ro",2
238,american,americano,"es,gl,it,pt",4
239,little,pouco,"gl,pt",2
240,before,antes de,"es,pt",2
241,ever,sempre,"ca,it,pt",3
242,word,palabra,"es,gl",2
245,read,ler,"gl,pt",2
247,nothing,nada,"es,gl",2
248,sure,seguro,"es,gl",2
249,small,petit,"ca,fr",2
250,month,mes,"ca,es,gl",3
251,program,program,"en,ro",2
251,program,programa,"ca,es,gl,pt",4
252,maybe,pode ser,"gl,pt",2
255,business,negocio,"es,gl",2
256,home,casa,"ca,es,gl,it,pt",5
257,kind,amable,"ca,es,gl",3
259,pay,pagar,"ca,es,gl,pt",4
260,study,estudar,"gl,pt",2
262,issue,asunto,"es,gl",2
262,issue,problema,"it,ro",2
263,name,nome,"gl,it,pt",3
264,idea,idea,"ca,en,gl,it",4
266,percent,por cento,"gl,pt",2
269,law,lei,"gl,pt",2
271,large,grande,"es,fr,gl",3
273,provide,proporcionar,"ca,gl",2
274,lose,perder,"es,gl,pt",3
274,lose,perdre,"ca,fr",2
275,power,poder,"ca,gl",2
277,war,guerra,"ca,es,gl,it,pt",5
279,head,cabeza,"es,gl",2
279,head,cap,"ca,ro",2
281,real,real,"ca,en,gl,pt,ro",5
283,team,equipo,"es,gl",2
285,long,long,"en,fr",2
286,long,long,"en,fr",2
287,side,lado,"es,gl",2
288,water,agua,"es,pt",2
292,both,ambos,"es,gl",2
297,area,área,"es,gl,pt",3
298,important,important,"ca,en,fr,ro",4
298,important,importante,"es,gl,it,pt",4
299,person,persona,"ca,es,it",3
304,end,fin,"es,gl",2
307,only,solo,"es,it",2
307,only,só,"gl,pt",2
309,hour,hora,"es,gl,pt",3
309,hour,ora,"it,ro",2
310,everything,todo,"es,gl",2
311,national,nacional,"ca,es,gl,pt",4
312,four,quatre,"ca,fr",2
316,watch,ver,"gl,pt",2
318,father,padre,"es,it",2
318,father,pai,"gl,pt",2
320,create,crear,"ca,es,gl",3
321,information,information,"en,fr",2
321,information,información,"es,gl",2
322,car,carro,"es,pt",2
323,learn,aprender,"es,gl,pt",3
324,least,menos,"es,gl",2
326,kill,matar,"ca,es,gl,pt",4
327,minute,minute,"en,fr",2
327,minute,minuto,"es,gl,it,pt",4
327,minute,minut,"ca,ro",2
328,party,festa,"ca,gl,it",3
329,include,include,"en,ro",2
329,include,incluir,"es,pt",2
330,stand,stand,"en,ro",2
330,stand,estar,"es,gl",2
331,together,juntos,"es,pt",2
334,health,saúde,"gl,pt",2
335,remember,lembrar,"gl,pt",2
337,reason,razón,"es,gl",2
338,speak,falar,"gl,pt",2
339,ago,atrás,"es,pt",2
339,ago,fa,"ca,it",2
341,black,negro,"es,gl",2
342,member,membre,"ca,fr",2
342,member,membro,"gl,it,pt",3
343,community,comunidade,"gl,pt",2
345,social,social,"en,es,fr,pt,ro",5
347,allow,permitir,"es,gl,pt",3
349,body,corpo,"gl,it,pt",3
350,lead,dirigir,"ca,es",2
351,continue,continuar,"ca,gl",2
352,whether,se,"gl,it,pt",3
353,enough,suficiente,"es,gl",2
353,enough,suficient,"ca,ro",2
354,spend,gastar,"es,gl,pt",3
355,level,nivel,"es,gl,ro",3
356,able,capaz,"gl,pt",2
357,political,político,"es,gl,pt",3
360,university,universidade,"gl,pt",2
361,before,antes de,"es,pt",2
366,five,cinco,"es,gl,pt",3
367,probably,probablemente,"es,gl",2
368,center,centre,"ca,fr",2
368,center,centro,"gl,it",2
369,among,entre,"ca,es,gl",3
370,face,cara,"ca,gl,pt",3
371,public,public,"en,ro",2
371,public,público,"es,gl,pt",3
372,die,morir,"ca,es",2
372,die,morrer,"gl,pt",2
373,food,comida,"es,gl",2
375,history,historia,"es,gl",2
376,buy,comprar,"ca,es",2
377,result,resultado,"es,gl,pt",3
379,off,apagado,"es,gl",2
380,parent,parent,"en,fr",2
380,parent,pai,"gl,pt",2
381,office,oficina,"ca,es,gl",3
382,course,curso,"es,gl,pt",3
382,course,curs,"ca,ro",2
383,send,enviar,"ca,es,gl",3
385,walk,caminar,"ca,es",2
385,walk,andar,"gl,pt",2
386,door,porta,"ca,gl,it,pt",4
387,white,blanc,"ca,fr",2
388,several,varios,"es,gl",2
389,court,tribunal,"gl,ro",2
390,home,casa,"ca,es,gl,it,pt",5
394,moment,moment,"ca,en,fr,ro",4
394,moment,momento,"es,gl,it,pt",4
396,consider,considerar,"ca,es,gl,pt",4
397,both,ambos,"es,gl",2
398,such,tal,"ca,gl,pt",3
399,little,pouco,"gl,pt",2
400,within,dentro,"es,gl",2
401,second,segundo,"es,gl,pt",3
402,late,tarde,"es,gl",2
404,free,gratuit,"fr,ro",2
406,everyone,todos,"es,gl",2
407,policy,política,"ca,es,gl,pt",4
410,care,cura,"ca,it",2
411,low,baixo,"gl,pt",2
412,human,humano,"es,gl,pt",3
413,please,por favor,"es,gl,pt",3
414,hope,esperanza,"es,gl",2
416,process,proceso,"es,gl",2
417,teacher,profesor,"es,gl,ro",3
417,teacher,professor,"ca,pt",2
418,data,datos,"es,gl",2
419,offer,oferta,"ca,es,gl,pt",4
420,death,morte,"gl,pt",2
422,experience,experiencia,"es,gl",2
423,plan,plan,"en,es,gl,ro",4
424,easy,fácil,"es,gl,pt",3
424,easy,facile,"fr,it",2
425,education,educación,"es,gl",2
426,build,construir,"ca,es",2
427,expect,esperar,"ca,gl,pt",3
428,fall,caer,"es,gl",2
431,hard,duro,"es,gl,it",3
431,hard,dur,"ca,fr",2
432,sense,sentido,"es,gl",2
432,sense,sens,"fr,ro",2
432,sense,senso,"it,pt",2
433,across,a través de,"ca,es",2
434,show,show,"en,es",2
435,early,cedo,"gl,pt",2
437,music,música,"ca,es,gl,pt",4
438,appear,aparecer,"es,gl,pt",3
439,mind,mente,"es,gl,it,pt",4
440,class,clase,"es,gl",2
440,class,classe,"ca,it,pt",3
441,police,police,"en,fr",2
441,police,policía,"es,gl",2
442,use,usar,"es,gl,pt",3
443,effect,efecto,"es,gl",2
444,season,temporada,"ca,es,pt",3
446,heart,corazón,"es,gl",2
448,art,art,"ca,en,fr,gl",4
448,art,arte,"it,pt",2
449,possible,possible,"ca,en,fr",3
449,possible,posible,"es,gl",2
450,serve,atender,"es,gl",2
450,serve,servir,"ca,fr,pt",3
453,end,fin,"es,gl",2
454,market,mercado,"es,gl,pt",3
456,air,air,"en,fr",2
456,air,aire,"ca,es,gl",3
457,force,forza,"gl,it",2
457,force,força,"ca,pt",2
458,require,exigir,"es,pt",2
459,foot,pé,"gl,pt",2
460,up,arriba,"es,gl",2
465,baby,bebé,"es,gl",2
466,wrong,mal,"ca,gl",2
467,love,amor,"ca,es,gl",3
468,cut,cortar,"es,gl,pt",3
469,decide,decide,"en,ro",2
469,decide,decidir,"ca,es,gl,pt",4
470,republican,republican,"en,ro",2
470,republican,republicano,"es,gl,pt",3
471,full,completo,"es,pt",2
472,behind,detrás,"es,gl",2
473,pass,passar,"ca,pt",2
474,interest,interesse,"it,pt",2
477,eat,comer,"gl,pt",2
478,report,informe,"ca,gl",2
479,control,control,"ca,en,es,gl",4
480,rate,taxa,"ca,gl",2
481,local,local,"en,es,fr,gl,pt,ro",6
482,suggest,sugerir,"es,pt",2
483,report,informe,"ca,gl",2
484,nation,nation,"en,fr",2
484,nation,nación,"es,gl",2
485,sell,vender,"es,gl,pt",3
485,sell,vendre,"ca,fr",2
486,action,action,"en,fr",2
486,action,acción,"es,gl",2
488,wife,esposa,"es,gl,pt",3
489,decision,decisión,"es,gl",2
490,receive,recibir,"es,gl",2
491,value,valor,"ca,es,gl,pt",4
492,base,base,"ca,en,es,fr,gl,it,pt",7
494,phone,teléfono,"es,gl",2
496,event,evento,"es,gl,it,pt",4
497,drive,conducir,"es,gl",2
498,strong,fort,"ca,fr",2
498,strong,forte,"gl,it",2
500,remain,permanecer,"es,gl,pt",3
501,explain,explique,"es,pt",2
501,explain,explicar,"ca,gl",2
502,site,site,"en,fr",2
502,site,sitio,"es,gl",2
503,hit,bater,"gl,pt",2
506,model,model,"ca,en,ro",3
506,model,modelo,"es,gl,pt",3
508,relationship,relación,"es,gl",2
509,six,six,"en,fr",2
509,six,seis,"es,gl,pt",3
511,movie,película,"es,gl",2
511,movie,film,"fr,it,ro",3
512,field,campo,"es,gl,it,pt",4
512,field,camp,"ca,ro",2
514,less,menos,"es,gl,pt",3
515,player,jugador,"ca,es",2
516,couple,parella,"ca,gl",2
517,million,million,"en,fr",2
519,record,record,"en,ro",2
519,record,registro,"es,pt",2
520,especially,especialmente,"es,gl,pt",3
524,federal,federal,"ca,en,es,gl,ro",5
525,former,antigo,"gl,pt",2
526,role,papel,"es,gl",2
527,pretty,bonito,"es,pt",2
529,view,vista,"ca,es,gl",3
531,effort,effort,"en,fr",2
533,quite,bastante,"es,gl,pt",3
535,voice,voz,"es,gl,pt",3
535,voice,voce,"it,ro",2
536,finally,finalmente,"gl,it,pt",3
537,department,departamento,"gl,pt",2
537,department,departament,"ca,ro",2
540,leader,leader,"en,fr",2
540,leader,líder,"ca,es,gl,pt",4
541,because,porque,"es,gl",2
542,photo,photo,"en,fr",2
542,photo,foto,"ca,gl,it,pt",4
547,position,position,"en,fr",2
547,position,posición,"es,gl",2
548,special,special,"en,ro",2
548,special,especial,"ca,es,gl,pt",4
549,million,million,"en,fr",2
550,film,film,"en,fr,it,ro",4
550,film,película,"es,gl",2
552,major,major,"ca,en,ro",3
552,major,maior,"gl,pt",2
555,article,article,"ca,en,fr",3
555,article,artigo,"gl,pt",2
556,road,estrada,"gl,pt",2
557,form,forma,"ca,gl",2
558,chance,chance,"en,fr,pt",3
559,drug,droga,"ca,es,gl,it",4
560,economic,economic,"en,ro",2
560,economic,económico,"es,gl",2
561,situation,situation,"en,fr",2
561,situation,situación,"es,gl",2
563,practice,práctica,"es,gl",2
564,cause,cause,"en,fr",2
564,cause,causa,"ca,gl,it,pt",4
565,happy,feliz,"es,gl,pt",3
569,early,cedo,"gl,pt",2
574,clear,claro,"es,gl",2
574,clear,clar,"ca,ro",2
577,dead,morto,"it,pt",2
577,dead,mort,"ca,ro",2
578,image,image,"en,fr",2
579,star,estrella,"ca,es",2
580,cost,cost,"ca,en,ro",3
580,cost,costo,"es,it",2
580,cost,custo,"gl,pt",2
582,post,post,"en,ro",2
583,society,sociedade,"gl,pt",2
584,picture,foto,"it,pt",2
585,piece,peça,"ca,pt",2
586,paper,paper,"ca,en",2
586,paper,papel,"es,gl,pt",3
587,energy,energia,"ca,it,pt",3
588,personal,personal,"en,es,ro",3
589,building,edificio,"es,gl,it",3
590,military,militar,"ca,es,gl,ro",4
592,doctor,doctor,"en,ro",2
592,doctor,médico,"es,pt",2
594,exactly,exactamente,"es,gl",2
595,american,american,"en,ro",2
595,american,americano,"es,gl,it,pt",4
596,media,media,"en,it",2
597,miss,perder,"es,pt",2
602,arm,brazo,"es,gl",2
603,technology,tecnologia,"ca,it,pt",3
605,comment,comentar,"ca,gl",2
607,term,terme,"ca,fr",2
608,color,color,"ca,en,es",3
608,color,cor,"gl,pt",2
610,describe,describir,"es,gl",2
612,choice,elección,"es,gl",2
613,source,fonte,"gl,it,pt",3
614,mom,mamá,"es,gl",2
616,director,director,"ca,en,es,gl,ro",5
617,international,international,"en,fr",2
617,international,internacional,"ca,es,gl,pt",4
618,rule,regla,"ca,es",2
618,rule,regra,"gl,pt",2
620,ground,terra,"ca,it",2
621,election,elección,"es,gl",2
622,face,cara,"ca,gl,pt",3
623,uh,uh,"en,gl,it,ro",4
624,check,Verifica,"pt,ro",2
625,page,page,"en,fr",2
625,page,página,"es,pt",2
628,test,test,"en,fr,it",3
629,patient,patient,"en,fr",2
629,patient,paciente,"es,gl,pt",3
631,certain,certain,"en,fr",2
631,certain,certo,"gl,it,pt",3
633,half,metade,"gl,pt",2
634,video,video,"en,es,it,ro",4
634,video,vídeo,"ca,gl,pt",3
637,third,terceiro,"gl,pt",2
638,care,cura,"ca,it",2
639,rest,descanso,"gl,pt",2
640,recent,recent,"ca,en",2
640,recent,recente,"gl,it,pt",3
641,available,disponible,"ca,es,fr",3
642,step,paso,"es,gl",2
643,ready,pronto,"it,pt",2
644,opportunity,oportunidade,"gl,pt",2
645,official,oficial,"ca,es,pt,ro",4
646,oil,aceite,"es,gl",2
648,organization,organización,"es,gl",2
651,current,actual,"ca,gl,ro",3
652,likely,probable,"ca,es,fr,gl",4
654,future,futuro,"es,gl,it,pt",4
654,future,futur,"ca,fr",2
657,less,menos,"es,gl,pt",3
658,shoot,disparar,"ca,gl",2
659,industry,industria,"es,gl,it",3
659,industry,industrie,"fr,ro",2
659,industry,indústria,"ca,pt",2
660,second,segundo,"es,gl,pt",3
661,list,lista,"es,gl",2
662,general,general,"ca,en,es,ro",4
664,figure,figura,"ca,es,gl,it,pt,ro",6
665,attention,attention,"en,fr",2
665,attention,atención,"es,gl",2
667,risk,risco,"gl,pt",2
667,risk,risc,"ca,ro",2
668,no,no,"ca,en,it",3
668,no,non,"fr,gl",2
669,focus,focus,"ca,en",2
669,focus,foco,"gl,pt",2
671,fire,foc,"ca,ro",2
674,hair,cabelo,"gl,pt",2
675,point,point,"en,fr",2
675,point,punto,"es,gl,it",3
676,condition,condición,"es,gl",2
678,daughter,filla,"ca,gl",2
679,before,antes de,"es,pt",2
681,author,autor,"ca,es,gl,pt,ro",5
682,truth,verdade,"gl,pt",2
683,upon,sobre,"ca,gl,pt",3
684,husband,esposo,"es,pt",2
685,period,período,"es,gl,pt",3
686,series,serie,"es,gl,it,ro",4
687,order,pedido,"es,pt",2
687,order,ordre,"ca,fr",2
688,officer,oficial,"ca,es,gl",3
690,land,terra,"ca,gl,it,pt",4
691,note,Nota,"es,gl,it,pt",4
692,computer,computer,"en,it",2
694,economy,economía,"es,gl",2
694,economy,economia,"ca,it,pt",3
695,goal,meta,"es,pt",2
696,bank,Banco,"es,pt",2
697,behavior,comportamento,"gl,it,pt",3
697,behavior,comportament,"ca,ro",2
700,certainly,certamente,"gl,pt",2
702,increase,aumento,"es,it",2
703,act,act,"en,ro",2
703,act,actuar,"ca,es,gl",3
704,north,norte,"es,gl,pt",3
704,north,Nord,"fr,ro",2
704,north,nord,"ca,it",2
705,well,bien,"es,fr",2
706,blood,sangue,"gl,it,pt",3
707,culture,culture,"en,fr",2
707,culture,cultura,"ca,es,gl,it,pt",5
708,medical,medical,"en,ro",2
708,medical,médico,"es,gl,pt",3
709,ok,ok,"en,it",2
709,ok,OK,"es,pt",2
710,everybody,todos,"es,gl",2
711,top,top,"en,ro",2
712,difficult,difícil,"ca,es,gl,pt",4
712,difficult,difficile,"fr,it",2
715,window,finestra,"ca,it",2
716,response,resposta,"ca,gl,pt",3
717,population,population,"en,fr",2
718,lie,mentira,"gl,pt",2
719,tree,arbre,"ca,fr",2
720,park,parque,"es,gl",2
720,park,parc,"ca,ro",2
723,plan,plan,"en,es,gl,ro",4
724,drop,soltar,"es,gl",2
726,earth,terra,"ca,gl,it,pt",4
727,cause,cause,"en,fr",2
727,cause,causa,"ca,gl,it,pt",4
728,per,per,"ca,en,it",3
728,per,por,"es,gl,pt",3
729,private,privado,"es,gl,pt",3
729,private,privat,"ca,ro",2
730,tonight,esta noite,"gl,pt",2
732,than,que,"ca,es,fr,gl,pt",5
733,letter,carta,"ca,es,pt",3
735,gun,pistola,"ca,es,it",3
736,simple,simple,"en,es",2
737,course,curso,"es,gl,pt",3
737,course,curs,"ca,ro",2
739,involve,implicar,"ca,gl",2
740,hell,inferno,"gl,it,pt",3
741,poor,pobre,"ca,es,gl,pt",4
742,each,cada,"es,pt",2
743,answer,resposta,"ca,gl",2
744,nature,natureza,"gl,pt",2
745,administration,administration,"en,fr",2
745,administration,administración,"es,gl",2
746,common,común,"es,gl",2
747,no,no,"ca,en,it",3
747,no,non,"fr,gl",2
748,hard,duro,"es,gl,it",3
748,hard,dur,"ca,fr",2
749,message,message,"en,fr",2
750,song,canción,"es,gl",2
752,similar,similar,"en,es",2
753,congress,congreso,"es,gl",2
754,attack,ataque,"es,gl,pt",3
754,attack,atac,"ca,ro",2
755,past,pasado,"es,gl",2
756,hot,quente,"gl,pt",2
757,seek,buscar,"ca,es,gl",3
759,analysis,análise,"gl,pt",2
761,defense,defensa,"ca,es,gl",3
762,bill,factura,"ca,es,gl",3
764,cell,célula,"gl,pt",2
766,performance,performance,"en,fr",2
767,hospital,hospital,"ca,en,es,gl,pt",5
768,bed,cama,"es,gl,pt",3
770,protect,proteger,"es,pt",2
771,century,século,"gl,pt",2
773,material,material,"ca,en,es,gl,pt,ro",6
774,individual,individual,"ca,en,es,gl,ro",5
775,recently,recentemente,"gl,it,pt",3
776,example,exemplo,"gl,pt",2
777,represent,representar,"ca,es,gl,pt",4
778,fill,encher,"gl,pt",2
780,place,lugar,"es,gl",2
781,animal,animal,"ca,en,es,fr,gl,pt,ro",7
782,fail,fallar,"es,gl",2
783,factor,factor,"ca,en,es,gl,ro",5
784,natural,natural,"ca,en,es,gl,pt,ro",6
785,sir,señor,"es,gl",2
788,significant,significativo,"es,gl,it,pt",4
789,help,ajuda,"ca,pt",2
791,mile,mile,"en,fr",2
791,mile,milla,"ca,es,gl",3
792,statement,declaración,"es,gl",2
794,democrat,democrat,"en,ro",2
794,democrat,demócrata,"es,gl",2
795,floor,piso,"es,gl,pt",3
796,serious,grave,"es,gl,it",3
797,career,carreira,"gl,pt",2
798,dollar,dollar,"en,fr",2
798,dollar,dólar,"es,gl,pt",3
799,vote,votar,"ca,es,gl",3
800,sex,sex,"en,ro",2
800,sex,sexo,"es,gl,pt",3
800,sex,sexe,"ca,fr",2
801,compare,comparar,"ca,es,gl,pt",4
802,south,Sud,"fr,it",2
802,south,sud,"ca,ro",2
806,identify,identificar,"ca,es,gl,pt",4
808,decade,década,"es,gl,pt",3
809,bit,bit,"ca,en,fr",3
810,reduce,reduce,"en,ro",2
813,quickly,rapidamente,"gl,it,pt",3
814,act,act,"en,ro",2
814,act,actuar,"ca,es,gl",3
816,worry,preocuparse,"es,gl",2
817,accept,aceptar,"es,gl",2
818,enter,entrar,"ca,gl,pt",3
819,mention,mention,"en,fr",2
819,mention,mencionar,"es,gl",2
822,plant,planta,"ca,es,gl",3
823,movement,movimento,"it,pt",2
824,scene,escena,"ca,es,gl",3
825,section,section,"en,fr",2
825,section,sección,"es,gl",2
826,treatment,tratamento,"gl,pt",2
828,benefit,beneficio,"es,gl,it",3
829,interesting,interesante,"es,gl",2
829,interesting,interessante,"it,pt",2
830,west,oeste,"es,gl",2
831,candidate,candidato,"es,gl,it,pt",4
831,candidate,candidat,"ca,fr,ro",3
833,determine,determinar,"ca,es,gl,pt",4
834,resource,recurso,"es,gl,pt",3
836,answer,resposta,"ca,gl",2
838,sort,ordenar,"ca,gl",2
839,enough,suficiente,"es,gl",2
839,enough,suficient,"ca,ro",2
844,hang,colgar,"es,gl",2
845,sport,sport,"en,fr,it,ro",4
845,sport,deporte,"es,gl",2
846,tv,tv,"en,gl,it",3
847,loss,perda,"gl,pt",2
848,argue,argumentar,"ca,gl,pt",3
850,note,Nota,"es,gl,it,pt",4
851,meeting,reunión,"es,gl",2
852,skill,habilidade,"gl,pt",2
853,card,card,"en,ro",2
854,feeling,sentiment,"fr,ro",2
854,feeling,sentimento,"gl,pt",2
856,degree,grau,"ca,pt",2
857,crime,crime,"en,gl,pt",3
859,sign,signe,"ca,fr",2
860,occur,ocorrer,"gl,pt",2
861,imagine,imagina,"es,ro",2
862,vote,votar,"ca,es,gl",3
863,near,cerca,"es,gl",2
864,king,rei,"ca,gl",2
865,box,caixa,"gl,pt",2
866,present,present,"ca,en",2
866,present,regalo,"es,it",2
866,present,presente,"gl,pt",2
867,figure,figura,"ca,es,gl,it,pt,ro",6
872,lady,señora,"es,gl",2
874,discuss,discutir,"ca,es,gl,pt",4
876,design,design,"en,it",2
877,concern,preocupación,"es,gl",2
878,ball,bola,"es,pt",2
879,east,est,"ca,fr,it",3
879,east,leste,"gl,pt",2
881,apply,aplicar,"ca,gl",2
882,prepare,preparar,"ca,es,gl,pt",4
883,network,rede,"gl,pt",2
884,huge,enorme,"ca,es,gl,it",4
885,success,éxito,"es,gl",2
886,district,district,"en,ro",2
886,district,distrito,"es,gl,pt",3
888,name,nome,"gl,it,pt",3
889,physical,físico,"es,gl,pt",3
893,standard,standard,"en,it,ro",3
893,standard,estándar,"es,gl",2
894,force,forza,"gl,it",2
894,force,força,"ca,pt",2
895,sign,signe,"ca,fr",2
896,fan,fan,"en,it",2
896,fan,ventilador,"ca,es,gl,pt",4
897,theory,teoría,"es,gl",2
897,theory,teoria,"ca,it,pt",3
898,staff,personal,"ca,es,ro",3
899,hurt,ferido,"gl,pt",2
900,legal,legal,"ca,en,es,gl",4
900,legal,legale,"it,ro",2
901,september,setembro,"gl,pt",2
904,et,et,"ca,en,es,fr,gl,it,pt,ro",8
906,clearly,claramente,"es,gl,pt",3
908,lay,deitar,"gl,pt",2
909,final,final,"ca,en,es,fr,gl,pt,ro",7
910,authority,autoridade,"gl,pt",2
911,perfect,perfect,"en,ro",2
912,method,método,"es,gl,pt",3
915,impact,impact,"en,ro",2
915,impact,impacto,"es,gl,pt",3
916,indicate,indicar,"ca,es,gl,pt",4
917,safe,seguro,"gl,pt",2
918,committee,comité,"es,gl",2
919,supposed,suposto,"gl,pt",2
922,shit,merda,"ca,gl,it,pt",4
923,central,central,"ca,en,es,fr,gl,pt,ro",7
924,option,option,"en,fr",2
924,option,opción,"es,gl",2
925,eight,oito,"gl,pt",2
926,particularly,particularmente,"es,gl,pt",3
927,completely,completamente,"es,gl,it,pt",4
928,opinion,opinión,"es,gl",2
929,main,principal,"ca,es,gl,ro",4
929,main,principale,"fr,it",2
930,ten,dez,"gl,pt",2
931,interview,entrevista,"ca,es,gl,pt",4
932,exist,existir,"ca,gl,pt",3
937,professor,professor,"ca,en,pt",3
937,professor,profesor,"es,gl",2
938,pressure,presión,"es,gl",2
939,purpose,propósito,"es,gl,pt",3
940,stage,etapa,"ca,gl",2
941,blue,azul,"es,gl,pt",3
942,herself,se,"fr,ro",2
943,sun,sol,"ca,es,gl,pt",4
944,pain,dolor,"ca,es",2
944,pain,dor,"gl,pt",2
945,artist,artist,"en,ro",2
945,artist,artista,"ca,es,gl,it,pt",5
947,avoid,evitar,"ca,es,gl,pt",4
948,account,account,"en,it",2
