Rank,English_Reference,Word_A,Word_B,Lang_A,Lang_B,Match_Type,Similarity_Score,Audit_Status
36,she,ella,ella,ca,es,Perfect,1.0,OK
36,she,ella,elle,ca,fr,Near,0.75,OK
37,my,meu,meu,ca,gl,Perfect,1.0,OK
39,as,comme,come,fr,it,Near,0.889,OK
39,as,como,Como,es,pt,Near,0.75,OK
39,as,como,come,es,it,Near,0.75,OK
39,as,como,Como,gl,pt,Near,0.75,OK
39,as,como,come,gl,it,Near,0.75,OK
40,know,saber,saber,ca,es,Perfect,1.0,OK
40,know,saber,saber,ca,gl,Perfect,1.0,OK
40,know,saber,saber,es,gl,Perfect,1.0,OK
40,know,saber,sapere,es,it,Near,0.727,OK
40,know,saber,sapere,gl,it,Near,0.727,OK
40,know,saber,sapere,ca,it,Near,0.727,OK
41,if,si,si,ca,fr,Perfect,1.0,OK
43,your,teu,teu,ca,gl,Perfect,1.0,OK
45,who,OMS,OMS,ca,gl,Perfect,1.0,OK
47,their,els seus,os seus,ca,gl,Near,0.8,OK
47,their,os seus,seus,gl,pt,Near,0.727,OK
50,would,haría,faría,es,gl,Near,0.8,OK
51,make,facer,face,gl,ro,Near,0.889,OK
53,up,arriba,arriba,es,gl,Perfect,1.0,OK
54,think,pense,pensa,fr,gl,Near,0.8,OK
54,think,pense,pensare,fr,it,Near,0.833,OK
54,think,pensar,pensare,es,it,Near,0.923,OK
54,think,pensar,pensar,ca,es,Perfect,1.0,OK
54,think,pensa,pensare,gl,it,Near,0.833,OK
54,think,pensar,pense,es,fr,Near,0.727,OK
54,think,pensar,pensare,ca,it,Near,0.923,OK
54,think,pensar,pensa,es,gl,Near,0.909,OK
54,think,pensar,pensa,ca,gl,Near,0.909,OK
54,think,pensar,pense,ca,fr,Near,0.727,OK
56,there,allà,allí,ca,es,Near,0.75,OK
57,see,veure,vedere,ca,it,Near,0.727,OK
57,see,vedere,vedea,it,ro,Near,0.727,OK
58,her,ella,dela,es,pt,Near,0.75,OK
58,her,ella,ella,ca,es,Perfect,1.0,OK
58,her,ella,dela,ca,pt,Near,0.75,OK
59,as,como,como,es,gl,Perfect,1.0,OK
60,out,fora,Fora,ca,pt,Near,0.75,OK
60,out,fora,fóra,ca,gl,Near,0.75,OK
61,one,un,un,fr,gl,Perfect,1.0,OK
61,one,un,un,ca,fr,Perfect,1.0,OK
61,one,un,un,ca,gl,Perfect,1.0,OK
62,come,vine,vino,ca,ro,Near,0.75,OK
62,come,venir,venire,es,it,Near,0.909,OK
63,people,persoas,persone,gl,it,Near,0.714,OK
63,people,persoas,pessoas,gl,pt,Near,0.857,OK
63,people,personas,pessoas,es,pt,Near,0.8,OK
63,people,gent,gens,ca,fr,Near,0.75,OK
63,people,personas,persone,es,it,Near,0.8,OK
63,people,personas,persoas,es,gl,Near,0.933,OK
64,take,prendre,prendere,ca,it,Near,0.933,OK
64,take,prendre,prendere,fr,it,Near,0.933,OK
64,take,prendre,prendre,ca,fr,Perfect,1.0,OK
65,year,an,an,fr,ro,Perfect,1.0,OK
65,year,ano,ano,gl,pt,Perfect,1.0,OK
66,him,lui,lui,fr,it,Perfect,1.0,OK
67,them,eles,eles,gl,pt,Perfect,1.0,OK
67,them,ells,eles,ca,pt,Near,0.75,OK
67,them,ells,ellos,ca,es,Near,0.889,OK
67,them,ells,eles,ca,gl,Near,0.75,OK
68,some,alguns,algum,ca,pt,Near,0.727,OK
68,some,alguns,algunos,ca,es,Near,0.923,OK
68,some,alguns,algunhas,ca,gl,Near,0.857,OK
68,some,algunos,algunhas,es,gl,Near,0.8,OK
69,want,voler,volere,ca,it,Near,0.909,OK
69,want,quero,quer,gl,pt,Near,0.889,OK
70,how,comment,come,fr,it,Near,0.727,OK
70,how,como,come,gl,it,Near,0.75,OK
70,how,cómo,como,es,gl,Near,0.75,OK
71,when,cando,quando,gl,it,Near,0.727,OK
71,when,quando,quando,it,pt,Perfect,1.0,OK
71,when,cando,quando,gl,pt,Near,0.727,OK
72,which,que,que,gl,pt,Perfect,1.0,OK
73,now,ahora,agora,es,gl,Near,0.8,OK
73,now,agora,agora,gl,pt,Perfect,1.0,OK
73,now,ahora,agora,es,pt,Near,0.8,OK
75,other,altres,autre,ca,fr,Near,0.727,OK
75,other,altres,alte,ca,ro,Near,0.8,OK
76,could,podería,poderia,gl,pt,Near,0.857,OK
76,could,podria,poderia,ca,pt,Near,0.923,OK
76,could,podria,podería,ca,gl,Near,0.769,OK
77,our,noso,nostro,gl,it,Near,0.8,OK
77,our,nostre,nostro,ca,it,Near,0.833,OK
77,our,nostre,notre,ca,fr,Near,0.909,OK
77,our,noso,nosso,gl,pt,Near,0.889,OK
77,our,nuestro,nostro,es,it,Near,0.769,OK
77,our,nostro,nosso,it,pt,Near,0.727,OK
77,our,notre,nostro,fr,it,Near,0.727,OK
78,into,en,en,es,gl,Perfect,1.0,OK
79,here,aquí,aquí,ca,gl,Perfect,1.0,OK
79,here,aquí,aquí,ca,es,Perfect,1.0,OK
79,here,aquí,aquí,es,gl,Perfect,1.0,OK
79,here,aquí,aqui,gl,pt,Near,0.75,OK
79,here,aquí,aqui,es,pt,Near,0.75,OK
79,here,aquí,aqui,ca,pt,Near,0.75,OK
81,than,que,que,gl,pt,Perfect,1.0,OK
81,than,que,que,es,gl,Perfect,1.0,OK
81,than,que,que,fr,pt,Perfect,1.0,OK
81,than,que,que,es,pt,Perfect,1.0,OK
81,than,que,que,es,fr,Perfect,1.0,OK
81,than,que,que,fr,gl,Perfect,1.0,OK
81,than,que,que,ca,es,Perfect,1.0,OK
81,than,que,que,ca,gl,Perfect,1.0,OK
81,than,que,que,ca,fr,Perfect,1.0,OK
81,than,que,que,ca,pt,Perfect,1.0,OK
82,look,mira,mirar,ca,gl,Near,0.889,OK
82,look,mira,Mira,ca,es,Near,0.75,OK
84,more,máis,mais,gl,pt,Near,0.75,OK
85,these,estes,queste,gl,it,Near,0.727,OK
85,these,estes,esses,gl,pt,Near,0.8,OK
85,these,estos,estes,es,gl,Near,0.8,OK
85,these,estes,aceste,gl,ro,Near,0.727,OK
85,these,aquests,queste,ca,it,Near,0.769,OK
87,thing,cosa,coisa,ca,pt,Near,0.889,OK
87,thing,cosa,coisa,it,pt,Near,0.889,OK
87,thing,cosa,cosa,es,it,Perfect,1.0,OK
87,thing,cosa,coisa,es,pt,Near,0.889,OK
87,thing,cosa,cousa,es,gl,Near,0.889,OK
87,thing,cousa,coisa,gl,pt,Near,0.8,OK
87,thing,cosa,cousa,ca,gl,Near,0.889,OK
87,thing,cosa,cosa,ca,es,Perfect,1.0,OK
87,thing,cousa,cosa,gl,it,Near,0.889,OK
87,thing,cosa,cosa,ca,it,Perfect,1.0,OK
88,well,bien,bene,fr,it,Near,0.75,OK
88,well,bien,bien,es,fr,Perfect,1.0,OK
88,well,bene,bine,it,ro,Near,0.75,OK
88,well,bien,bene,es,it,Near,0.75,OK
88,well,bien,bine,fr,ro,Near,0.75,OK
88,well,bien,bine,es,ro,Near,0.75,OK
89,because,porque,porque,es,gl,Perfect,1.0,OK
90,also,també,tamén,ca,gl,Near,0.8,OK
91,two,dos,dos,ca,es,Perfect,1.0,OK
91,two,dous,dois,gl,pt,Near,0.75,OK
93,tell,raccontare,contar,it,pt,Near,0.75,OK
93,tell,contar,raccontare,gl,it,Near,0.75,OK
93,tell,contar,raccontare,es,it,Near,0.75,OK
93,tell,contar,contar,es,gl,Perfect,1.0,OK
93,tell,contar,contar,gl,pt,Perfect,1.0,OK
93,tell,contar,contar,es,pt,Perfect,1.0,OK
95,first,primero,primeiro,es,pt,Near,0.933,OK
95,first,primer,primero,ca,es,Near,0.923,OK
95,first,primer,primeiro,ca,pt,Near,0.857,OK
95,first,primo,primul,it,ro,Near,0.727,OK
95,first,primeira,primeiro,gl,pt,Near,0.875,OK
95,first,primer,primo,ca,it,Near,0.727,OK
95,first,primer,primeira,ca,gl,Near,0.857,OK
95,first,primero,primeira,es,gl,Near,0.8,OK
95,first,primo,primeiro,it,pt,Near,0.769,OK
95,first,primero,primo,es,it,Near,0.833,OK
96,man,home,hombre,ca,es,Near,0.8,OK
96,man,home,home,ca,gl,Perfect,1.0,OK
96,man,hombre,home,es,gl,Near,0.8,OK
97,day,día,día,es,gl,Perfect,1.0,OK
97,day,dia,dia,ca,pt,Perfect,1.0,OK
98,find,trouver,trovare,fr,it,Near,0.714,OK
98,find,trobar,trovare,ca,it,Near,0.769,OK
99,give,donar,donner,ca,fr,Near,0.727,OK
99,give,dar,dar,es,pt,Perfect,1.0,OK
99,give,dar,dar,gl,pt,Perfect,1.0,OK
99,give,dar,dar,es,gl,Perfect,1.0,OK
101,new,novo,novo,gl,pt,Perfect,1.0,OK
101,new,nuovo,novo,it,pt,Near,0.889,OK
101,new,nuevo,nuovo,es,it,Near,0.8,OK
101,new,novo,nuovo,gl,it,Near,0.889,OK
101,new,nou,nou,ca,ro,Perfect,1.0,OK
103,us,nosaltres,nosotros,ca,es,Near,0.706,OK
103,us,nós,nós,gl,pt,Perfect,1.0,OK
105,those,aquells,quelli,ca,it,Near,0.769,OK
105,those,aquellos,quelli,es,it,Near,0.714,OK
105,those,aquellos,aqueles,es,gl,Near,0.8,OK
105,those,aquells,aquellos,ca,es,Near,0.933,OK
105,those,aquells,aqueles,ca,gl,Near,0.857,OK
108,need,necessitat,necesitar,ca,es,Near,0.842,OK
108,need,necesidade,necessidade,gl,pt,Near,0.952,OK
108,need,necesitar,necesidade,es,gl,Near,0.737,OK
108,need,necessitat,necessidade,ca,pt,Near,0.762,OK
110,there,là,là,fr,it,Perfect,1.0,OK
111,should,deberían,debería,es,gl,Near,0.933,OK
114,many,molts,molti,ca,it,Near,0.8,OK
114,many,molts,moitas,ca,gl,Near,0.727,OK
115,really,vraiment,realmente,fr,pt,Near,0.706,OK
115,really,realment,veramente,ca,it,Near,0.706,OK
115,really,realmente,veramente,gl,it,Near,0.778,OK
115,really,veramente,realmente,it,pt,Near,0.778,OK
115,really,realmente,realmente,gl,pt,Perfect,1.0,OK
115,really,realment,realmente,ca,pt,Near,0.941,OK
115,really,realment,vraiment,ca,fr,Near,0.75,OK
115,really,vraiment,veramente,fr,it,Near,0.824,OK
115,really,vraiment,realmente,fr,gl,Near,0.706,OK
115,really,realment,realmente,ca,gl,Near,0.941,OK
117,life,vita,vida,it,pt,Near,0.75,OK
117,life,vida,vita,gl,it,Near,0.75,OK
117,life,vida,vita,es,it,Near,0.75,OK
117,life,vida,vita,ca,it,Near,0.75,OK
117,life,vida,vida,es,pt,Perfect,1.0,OK
117,life,vida,vida,ca,gl,Perfect,1.0,OK
117,life,vida,vida,es,gl,Perfect,1.0,OK
117,life,vida,vida,ca,es,Perfect,1.0,OK
117,life,vida,vida,ca,pt,Perfect,1.0,OK
117,life,vida,vida,gl,pt,Perfect,1.0,OK
118,why,Per què,Por quê,ca,pt,Near,0.714,OK
118,why,por qué,por que,es,gl,Near,0.857,OK
118,why,por qué,Por quê,es,pt,Near,0.714,OK
118,why,por que,Por quê,gl,pt,Near,0.714,OK
119,right,dret,dreapta,ca,ro,Near,0.727,OK
119,right,dret,direito,ca,pt,Near,0.727,OK
121,on,sobre,sobre,es,pt,Perfect,1.0,OK
123,let,deixar,dejar,ca,es,Near,0.727,OK
123,let,dejar,deixar,es,gl,Near,0.727,OK
123,let,deixar,deixar,ca,gl,Perfect,1.0,OK
124,something,algo,algo,es,pt,Perfect,1.0,OK
124,something,algo,algo,es,gl,Perfect,1.0,OK
124,something,algo,algo,gl,pt,Perfect,1.0,OK
125,too,tamén,também,gl,pt,Near,0.727,OK
125,too,també,también,ca,es,Near,0.833,OK
125,too,també,tamén,ca,gl,Near,0.8,OK
125,too,también,tamén,es,gl,Near,0.833,OK
125,too,también,também,es,pt,Near,0.769,OK
125,too,també,também,ca,pt,Near,0.909,OK
126,call,appeler,apel,fr,ro,Near,0.727,OK
126,call,chamar,chiamata,gl,it,Near,0.714,OK
127,woman,femme,femeie,fr,ro,Near,0.727,OK
127,woman,mujer,mulher,es,pt,Near,0.727,OK
127,woman,mujer,muller,es,gl,Near,0.727,OK
127,woman,dona,donna,ca,it,Near,0.889,OK
127,woman,muller,mulher,gl,pt,Near,0.833,OK
129,still,aínda,ainda,gl,pt,Near,0.8,OK
131,mean,significar,significar,gl,pt,Perfect,1.0,OK
131,mean,significar,significar,ca,pt,Perfect,1.0,OK
131,mean,significar,significar,ca,gl,Perfect,1.0,OK
131,mean,significar,significar,ca,es,Perfect,1.0,OK
131,mean,significar,significar,es,gl,Perfect,1.0,OK
131,mean,significar,significar,es,pt,Perfect,1.0,OK
132,after,després,después,ca,es,Near,0.857,OK
132,after,después,despois,es,gl,Near,0.714,OK
132,after,despois,depois de,gl,pt,Near,0.75,OK
132,after,després,despois,ca,gl,Near,0.714,OK
133,never,nunca,Nunca,gl,pt,Near,0.8,OK
133,never,nunca,nunca,es,gl,Perfect,1.0,OK
133,never,mai,mai,ca,it,Perfect,1.0,OK
133,never,nunca,Nunca,es,pt,Near,0.8,OK
135,world,mundo,mundo,es,gl,Perfect,1.0,OK
135,world,mundo,mundo,gl,pt,Perfect,1.0,OK
135,world,mondo,mundo,it,pt,Near,0.8,OK
135,world,mundo,mundo,es,pt,Perfect,1.0,OK
135,world,monde,mondo,fr,it,Near,0.8,OK
135,world,mundo,mondo,es,it,Near,0.8,OK
135,world,mundo,mondo,gl,it,Near,0.8,OK
136,in,en,en,ca,gl,Perfect,1.0,OK
136,in,en,en,ca,es,Perfect,1.0,OK
138,yeah,sí,sí,ca,es,Perfect,1.0,OK
139,great,genial,xenial,ca,gl,Near,0.833,OK
142,oh,Oh,Oh,pt,ro,Perfect,1.0,OK
142,oh,Oh,Oh,es,ro,Perfect,1.0,OK
142,oh,Oh,Oh,fr,it,Perfect,1.0,OK
142,oh,Oh,Oh,es,it,Perfect,1.0,OK
142,oh,Oh,Oh,it,pt,Perfect,1.0,OK
142,oh,Oh,Oh,fr,ro,Perfect,1.0,OK
142,oh,Oh,Oh,fr,pt,Perfect,1.0,OK
142,oh,Oh,Oh,it,ro,Perfect,1.0,OK
142,oh,oh,oh,ca,gl,Perfect,1.0,OK
142,oh,Oh,Oh,es,fr,Perfect,1.0,OK
142,oh,Oh,Oh,es,pt,Perfect,1.0,OK
144,ask,preguntar,preguntar,ca,es,Perfect,1.0,OK
144,ask,preguntar,perguntar,gl,pt,Near,0.889,OK
144,ask,preguntar,preguntar,ca,gl,Perfect,1.0,OK
144,ask,preguntar,preguntar,es,gl,Perfect,1.0,OK
144,ask,preguntar,perguntar,ca,pt,Near,0.889,OK
144,ask,preguntar,perguntar,es,pt,Near,0.889,OK
147,school,escola,scuola,gl,it,Near,0.833,OK
147,school,escola,escola,ca,gl,Perfect,1.0,OK
147,school,escola,escola,ca,pt,Perfect,1.0,OK
147,school,escola,scuola,ca,it,Near,0.833,OK
147,school,escola,escola,gl,pt,Perfect,1.0,OK
147,school,scuola,escola,it,pt,Near,0.833,OK
148,state,estado,stato,gl,it,Near,0.727,OK
148,state,Etat,stat,fr,ro,Near,0.75,OK
148,state,estat,stato,ca,it,Near,0.8,OK
148,state,estat,estado,ca,gl,Near,0.727,OK
148,state,estado,Estado,gl,pt,Near,0.833,OK
148,state,stato,Estado,it,pt,Near,0.727,OK
148,state,stato,stat,it,ro,Near,0.889,OK
148,state,estat,stat,ca,ro,Near,0.889,OK
149,much,molt,mult,ca,ro,Near,0.75,OK
152,keep,manter,mantenere,gl,it,Near,0.8,OK
152,keep,mantenir,mantenerse,ca,es,Near,0.778,OK
152,keep,mantenir,manter,ca,gl,Near,0.857,OK
152,keep,mantenerse,manter,es,gl,Near,0.75,OK
152,keep,mantenir,mantenere,ca,it,Near,0.824,OK
152,keep,mantenerse,mantenere,es,it,Near,0.947,OK
154,put,mettre,mettere,fr,it,Near,0.923,OK
154,put,poner,poñer,es,gl,Near,0.8,OK
156,help,ajuda,ajuda,ca,pt,Perfect,1.0,OK
156,help,ayuda,axuda,es,gl,Near,0.8,OK
156,help,ajuda,ayuda,ca,es,Near,0.8,OK
156,help,ajuda,axuda,ca,gl,Near,0.8,OK
156,help,ayuda,ajuda,es,pt,Near,0.8,OK
156,help,axuda,ajuda,gl,pt,Near,0.8,OK
157,big,grande,grande,gl,it,Perfect,1.0,OK
157,big,grande,grande,es,gl,Perfect,1.0,OK
157,big,grande,grande,it,pt,Perfect,1.0,OK
157,big,grande,grande,es,pt,Perfect,1.0,OK
157,big,gran,grande,ca,es,Near,0.8,OK
157,big,gran,grande,ca,it,Near,0.8,OK
157,big,grand,grande,fr,gl,Near,0.909,OK
157,big,grande,grand,es,fr,Near,0.909,OK
157,big,gran,grande,ca,pt,Near,0.8,OK
157,big,gran,grande,ca,gl,Near,0.8,OK
157,big,grand,grande,fr,pt,Near,0.909,OK
157,big,grand,grande,fr,it,Near,0.909,OK
157,big,grande,grande,es,it,Perfect,1.0,OK
157,big,grande,grande,gl,pt,Perfect,1.0,OK
157,big,gran,grand,ca,fr,Near,0.889,OK
159,same,mismo,mesmo,es,pt,Near,0.8,OK
159,same,mismo,mesmo,es,gl,Near,0.8,OK
159,same,mesmo,mesmo,gl,pt,Perfect,1.0,OK
160,all,tots,tout,ca,fr,Near,0.75,OK
160,all,todo,tudo,es,pt,Near,0.75,OK
160,all,todo,todos,es,gl,Near,0.889,OK
164,three,tres,três,gl,pt,Near,0.75,OK
164,three,Tres,tres,es,gl,Near,0.75,OK
164,three,Tres,Trei,es,ro,Near,0.75,OK
164,three,tres,tres,ca,gl,Perfect,1.0,OK
164,three,tres,três,ca,pt,Near,0.75,OK
164,three,tres,Tres,ca,es,Near,0.75,OK
166,every,cada,cada,ca,es,Perfect,1.0,OK
166,every,cada,cada,es,gl,Perfect,1.0,OK
166,every,cada,cada,ca,gl,Perfect,1.0,OK
167,another,otro,outro,es,pt,Near,0.889,OK
167,another,otro,outro,es,gl,Near,0.889,OK
167,another,un altre,une autre,ca,fr,Near,0.824,OK
167,another,outro,outro,gl,pt,Perfect,1.0,OK
167,another,un altre,un alt,ca,ro,Near,0.857,OK
168,become,devenir,deveni,fr,ro,Near,0.923,OK
168,become,convertirse en,converterse,es,gl,Near,0.8,OK
168,become,convertir-se en,converterse,ca,gl,Near,0.769,OK
168,become,convertir-se en,convertirse en,ca,es,Near,0.966,OK
169,most,la majoria,a maioria,ca,pt,Near,0.842,OK
169,most,la majoria,a maioría,ca,gl,Near,0.737,OK
169,most,a maioría,a maioria,gl,pt,Near,0.889,OK
170,between,entre,entre,ca,pt,Perfect,1.0,OK
170,between,entre,între,gl,ro,Near,0.8,OK
170,between,entre,între,ca,ro,Near,0.8,OK
170,between,Entre,entre,es,gl,Near,0.8,OK
170,between,entre,entre,gl,pt,Perfect,1.0,OK
170,between,entre,entre,ca,gl,Perfect,1.0,OK
170,between,Entre,entre,es,pt,Near,0.8,OK
170,between,entre,Entre,ca,es,Near,0.8,OK
170,between,entre,între,pt,ro,Near,0.8,OK
170,between,Entre,între,es,ro,Near,0.8,OK
171,happen,ocurrir,ocorrer,es,gl,Near,0.714,OK
172,family,família,família,ca,pt,Perfect,1.0,OK
172,family,famille,familia,fr,gl,Near,0.714,OK
172,family,familia,famiglia,es,it,Near,0.933,OK
172,family,família,familia,ca,es,Near,0.857,OK
172,family,familia,famiglia,gl,it,Near,0.933,OK
172,family,família,famiglia,ca,it,Near,0.8,OK
172,family,família,familia,ca,gl,Near,0.857,OK
172,family,familia,familia,es,gl,Perfect,1.0,OK
172,family,familia,famille,es,fr,Near,0.714,OK
172,family,familia,familie,es,ro,Near,0.857,OK
172,family,família,familie,ca,ro,Near,0.714,OK
172,family,familia,família,es,pt,Near,0.857,OK
172,family,famiglia,família,it,pt,Near,0.8,OK
172,family,famille,familie,fr,ro,Near,0.857,OK
172,family,familia,família,gl,pt,Near,0.857,OK
172,family,familia,familie,gl,ro,Near,0.857,OK
172,family,famiglia,familie,it,ro,Near,0.8,OK
172,family,família,familie,pt,ro,Near,0.714,OK
174,president,president,Presidente,ca,it,Near,0.842,OK
174,president,president,presedinte,ca,ro,Near,0.737,OK
174,president,Presidente,Presidente,it,pt,Perfect,1.0,OK
174,president,presidente,presidente,es,gl,Perfect,1.0,OK
174,president,presidente,Président,es,fr,Near,0.737,OK
174,president,presidente,Presidente,es,pt,Near,0.9,OK
174,president,presidente,Presidente,es,it,Near,0.9,OK
174,president,presidente,Presidente,gl,pt,Near,0.9,OK
174,president,Président,Presidente,fr,it,Near,0.842,OK
174,president,presidente,presedinte,es,ro,Near,0.8,OK
174,president,Président,presidente,fr,gl,Near,0.737,OK
174,president,Président,Presidente,fr,pt,Near,0.842,OK
174,president,president,presidente,ca,gl,Near,0.947,OK
174,president,presidente,Presidente,gl,it,Near,0.9,OK
174,president,president,Président,ca,fr,Near,0.778,OK
174,president,president,presidente,ca,es,Near,0.947,OK
174,president,president,Presidente,ca,pt,Near,0.842,OK
174,president,presidente,presedinte,gl,ro,Near,0.8,OK
175,old,vell,vello,ca,gl,Near,0.889,OK
175,old,vell,vieille,ca,fr,Near,0.727,OK
175,old,vecchio,vechi,it,ro,Near,0.833,OK
175,old,vello,velho,gl,pt,Near,0.8,OK
176,yes,sí,sí,ca,es,Perfect,1.0,OK
179,again,de nou,din nou,ca,ro,Near,0.769,OK
179,again,de nou,de novo,ca,gl,Near,0.769,OK
179,again,de nou,de nuevo,ca,es,Near,0.714,OK
179,again,de nuevo,de novo,es,gl,Near,0.8,OK
180,student,estudiant,estudiante,ca,es,Near,0.947,OK
180,student,estudante,student,gl,ro,Near,0.75,OK
180,student,estudiante,student,es,ro,Near,0.706,OK
180,student,estudiante,estudante,es,gl,Near,0.947,OK
180,student,alunno,aluna,it,pt,Near,0.727,OK
180,student,estudiant,estudante,ca,gl,Near,0.889,OK
180,student,estudiant,student,ca,ro,Near,0.75,OK
182,seem,parecer,parecer,gl,pt,Perfect,1.0,OK
182,seem,parecer,parecer,es,gl,Perfect,1.0,OK
182,seem,parecer,parecer,es,pt,Perfect,1.0,OK
182,seem,semblar,sembler,ca,fr,Near,0.857,OK
182,seem,semblar,sembrare,ca,it,Near,0.8,OK
182,seem,parecer,pare,pt,ro,Near,0.727,OK
182,seem,parecer,pare,gl,ro,Near,0.727,OK
182,seem,parecer,pare,es,ro,Near,0.727,OK
183,might,podería,poderia,gl,pt,Near,0.857,OK
183,might,podría,poderia,es,pt,Near,0.769,OK
183,might,podria,podría,ca,es,Near,0.833,OK
183,might,podria,poderia,ca,pt,Near,0.923,OK
183,might,podria,podería,ca,gl,Near,0.769,OK
183,might,podría,podería,es,gl,Near,0.923,OK
184,part,parte,parte,gl,it,Perfect,1.0,OK
184,part,parte,parte,gl,ro,Perfect,1.0,OK
184,part,parte,parte,it,ro,Perfect,1.0,OK
184,part,parte,parte,es,it,Perfect,1.0,OK
184,part,part,parte,ca,es,Near,0.889,OK
184,part,part,partie,ca,fr,Near,0.8,OK
184,part,partie,parte,fr,gl,Near,0.909,OK
184,part,partie,parte,fr,it,Near,0.909,OK
184,part,parte,parte,es,gl,Perfect,1.0,OK
184,part,parte,parte,es,ro,Perfect,1.0,OK
184,part,part,parte,ca,gl,Near,0.889,OK
184,part,part,parte,ca,it,Near,0.889,OK
184,part,parte,partie,es,fr,Near,0.909,OK
184,part,part,parte,ca,ro,Near,0.889,OK
184,part,partie,parte,fr,ro,Near,0.909,OK
